date,total_victims,total_laws
3/27/2023,6,
2/13/2023,8,
1/23/2023,8,
1/21/2023,21,
11/22/2022,12,
11/19/2022,30,
11/13/2022,5,
10/13/2022,7,
7/17/2022,5,
7/4/2022,53,
6/16/2022,3,
6/9/2022,4,
6/1/2022,4,
5/24/2022,38,
5/14/2022,13,
2/28/2022,4,
11/30/2021,11,
5/26/2021,9,
4/15/2021,15,
3/31/2021,5,
3/22/2021,10,
3/16/2021,9,
3/16/2020,4,
2/26/2020,5,
12/10/2019,7,80
12/6/2019,11,30
8/31/2019,32,18
8/4/2019,36,15
8/3/2019,48,18
7/28/2019,15,111
5/31/2019,16,13
2/15/2019,11,69
1/24/2019,4,39
1/23/2019,5,30
11/19/2018,3,65
11/7/2018,34,109
10/27/2018,17,37
9/20/2018,6,69
9/12/2018,5,109
9/6/2018,5,16
6/28/2018,7,69
5/18/2018,23,18
4/22/2018,8,22
3/9/2018,3,109
2/14/2018,34,30
1/28/2018,5,37
11/14/2017,15,106
11/5/2017,46,18
11/1/2017,3,30
10/18/2017,6,64
10/1/2017,604,21
6/14/2017,5,106
6/7/2017,3,37
5/6/2017,5,21
12/5/2017,3,16
4/18/2017,3,106
6/1/2017,11,21
9/23/2016,5,43
7/17/2016,6,
7/7/2016,16,18
12/6/2016,102,21
2/25/2016,17,4
2/20/2016,8,21
2/12/2015,35,102
11/27/2015,12,30
10/31/2015,3,30
1/10/2015,18,33
7/16/2015,7,24
6/17/2015,10,12
11/6/2015,4,23
10/24/2014,6,41
5/23/2014,19,100
3/4/2014,15,20
2/20/2014,6,100
9/16/2013,20,
7/26/2013,7,21
7/6/2013,9,99
4/21/2013,5,25
3/13/2013,7,71
12/14/2012,29,73
9/27/2012,8,31
5/8/2012,10,24
7/20/2012,82,17
5/20/2012,7,25
2/4/2012,10,95
2/21/2012,5,11
12/10/2011,9,94
6/9/2011,12,11
8/1/2011,19,8
3/8/2010,11,73
11/29/2009,5,24
5/11/2009,44,20
3/4/2009,18,63
3/29/2009,11,30
6/25/2008,7,7
2/14/2008,26,61
7/2/2008,8,8
5/12/2007,13,21
7/10/2007,7,24
4/16/2007,55,12
12/2/2007,10,11
2/10/2006,11,37
3/25/2006,9,24
1/30/2006,8,93
3/21/2005,15,31
12/3/2005,11,24
8/12/2004,12,18
8/7/2003,15,9
5/2/2001,9,58
12/26/2000,7,101
12/30/1999,8,22
2/11/1999,7,63
9/15/1999,15,15
7/29/1999,22,11
4/20/1999,37,11
5/21/1998,29,16
3/24/1998,15,11
6/3/1998,6,62
12/18/1997,7,70
9/15/1997,7,18
9/2/1996,7,21
3/4/1995,6,15
6/20/1994,28,28
12/14/1993,5,9
7/12/1993,25,34
6/8/1993,12,23
1/7/1993,15,57
10/15/1992,5,34
1/5/1992,14,57
11/14/1991,10,24
1/11/1991,7,19
10/16/1991,44,13
6/18/1990,14,
9/14/1989,21,
1/17/1989,35,
2/16/1988,11,
4/23/1987,20,
8/20/1986,21,
7/18/1984,41,
6/29/1984,7,
8/20/1982,11,
